id,rf,norm_rf,weighted_rf,kf_score,n_tips,marker,method,runtime_seconds,gpu_memory_mb,clock_rate,seq_length,model,saved_at
0_10_tips,0.0,0.0,3.51767091,1.866899896150662,10,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
8_100_tips,182.0,1.0,0.7793636504999999,0.1078494115378412,100,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
4_50_tips,16.0,0.1702127659574468,7.076484871999999,2.247238440839435,50,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
8_50_tips,2.0,0.0212765957446808,2.7467395170000004,0.6879245915621961,50,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
10_200_tips,52.0,0.1319796954314721,9.421144825999995,1.1500411281772829,200,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
2_200_tips,369.0,1.0,2.055127897679999,0.2001135929256438,200,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
10_20_tips,33.0,1.0,5.43535428,1.6734428380651158,20,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
3_200_tips,393.0,1.0,24.54170129100001,2.118126404843917,200,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
1_50_tips,24.0,0.2553191489361702,0.775436079,0.1627038558582596,50,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
6_100_tips,40.0,0.2061855670103092,2.0894028965,0.4018933970624009,100,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
2_20_tips,0.0,0.0,2.95195784,1.241161092059884,20,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
15_20_tips,6.0,0.1764705882352941,1.0802093300000002,0.435381741516248,20,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
17_100_tips,22.0,0.1134020618556701,3.3415394290000004,0.5365971319762073,100,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
6_50_tips,18.0,0.1914893617021276,5.6035076,1.6349756388848735,50,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
17_200_tips,391.0,1.0,26.750597857500004,3.285225191554307,200,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
13_20_tips,33.0,1.0,0.2031457728999999,0.0693897658623977,20,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
18_50_tips,91.0,1.0,0.991855367,0.1577821276718724,50,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
15_200_tips,393.0,1.0,28.519628778600005,2.492955050873451,200,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
11_100_tips,193.0,1.0,17.411402761,2.65466910207844,100,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
9_100_tips,192.0,1.0,5.775263518000003,0.6421677712700863,100,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
6_10_tips,0.0,0.0,1.62730959,0.8063692786161644,10,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
10_50_tips,10.0,0.1063829787234042,6.66974298,1.4343559143483124,50,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
1_20_tips,2.0,0.0588235294117647,2.00362738,0.625124015358399,20,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
7_200_tips,388.0,1.0,5.467314088200004,0.4706102757345768,200,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
18_20_tips,2.0,0.0588235294117647,3.7062698999999992,1.4402692095173233,20,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
4_100_tips,26.0,0.134020618556701,5.267712227999999,0.947033757546548,100,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
16_50_tips,12.0,0.1276595744680851,1.023503637,0.2095681103720591,50,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
6_200_tips,382.0,1.0,1.875450466,0.1735373535733927,200,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
5_50_tips,16.0,0.1702127659574468,5.06208784,1.7524529500012822,50,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
5_200_tips,342.0,1.0,0.6649728715640005,0.0887294796553478,200,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
15_10_tips,4.0,0.2857142857142857,0.039837326,0.0169228416367049,10,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
1_200_tips,393.0,1.0,23.465060744500004,2.604783969123772,200,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
0_100_tips,193.0,1.0,9.14319676999999,1.347352508856781,100,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
12_100_tips,193.0,1.0,5.4924277472000025,0.6791875944512581,100,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
3_100_tips,6.0,0.0309278350515463,9.311471969999998,1.3349749365062806,100,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
4_200_tips,391.0,1.0,29.045416450999976,3.3083182293743505,200,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
12_10_tips,2.0,0.1428571428571428,0.5498296199999998,0.4597558121997986,10,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
0_50_tips,92.0,1.0,15.442745676,2.650153562896188,50,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
2_100_tips,191.0,1.0,6.006891256000002,0.7577869365120019,100,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
17_10_tips,4.0,0.2857142857142857,3.87070073,2.004554793598728,10,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
1_100_tips,192.0,1.0,11.282448082999998,1.421072391286867,100,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
5_100_tips,18.0,0.0927835051546391,4.695655577,1.163820901114402,100,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
10_10_tips,0.0,0.0,4.403984050000001,2.37012001861406,10,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
9_20_tips,2.0,0.0588235294117647,2.63952946,0.9136933661535795,20,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
8_200_tips,381.0,1.0,11.734143163900004,1.1126893145859755,200,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
12_20_tips,4.0,0.1176470588235294,0.8595606,0.2885274130838728,20,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
11_20_tips,6.0,0.1764705882352941,0.5205164000000001,0.2107219123634189,20,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
7_10_tips,12.0,1.0,0.068378636,0.0280926339245827,10,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
