id,rf,norm_rf,weighted_rf,kf_score,n_tips,marker,method,runtime_seconds,gpu_memory_mb,requested_trees_per_tip_size,allow_duplicate_sequences,successful_alignments_for_tip_size,combo_name,model,clock_rate,seq_length,tree_type,n_per_size,saved_at
10_200_tips,44.0,0.1116751269035533,0.9477427900000004,0.1123775487657119,200,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
2_10_tips,2.0,0.1428571428571428,0.7551626965000001,0.553364538861773,10,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
1_10_tips,0.0,0.0,0.080497876,0.0538353489753855,10,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
2_20_tips,0.0,0.0,0.7871409210000001,0.453990320562264,20,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
8_200_tips,44.0,0.1116751269035533,7.610074105490002,1.4029947113072814,200,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
15_100_tips,78.0,0.4020618556701031,0.22384620761,0.0307240300494279,100,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
14_200_tips,152.0,0.3857868020304568,1.2342626014539944,0.2751201047490535,200,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
13_50_tips,10.0,0.1063829787234042,0.3804342666999999,0.0784857564211312,50,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
13_20_tips,0.0,0.0,2.5210514275,0.912471234005436,20,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
6_200_tips,66.0,0.1675126903553299,1.7843518518999988,0.3221459838049265,200,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
14_50_tips,38.0,0.4042553191489361,0.0925461481,0.0191027239463343,50,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
1_200_tips,38.0,0.0964467005076142,4.963237982600002,0.7494133775162891,200,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
16_50_tips,16.0,0.1702127659574468,6.326395078599999,2.187303476904001,50,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
3_100_tips,8.0,0.0412371134020618,5.876124749900002,1.089146151530405,100,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
3_10_tips,0.0,0.0,0.4240872629999999,0.32253787904239,10,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
0_20_tips,16.0,0.4705882352941176,0.0139642663999999,0.0049007950014467,20,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
19_20_tips,2.0,0.0588235294117647,12.938033919400004,4.348613896241673,20,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
19_10_tips,0.0,0.0,0.9547400431,0.4273349089330857,10,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
10_20_tips,4.0,0.1176470588235294,6.2787759985,2.9510531660309254,20,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
3_200_tips,28.0,0.0710659898477157,1.7967462328,0.2182347289237544,200,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
19_200_tips,56.0,0.1421319796954314,0.9084322746200002,0.1075376649718303,200,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
18_20_tips,4.0,0.1176470588235294,0.0566602689199999,0.0208955868788877,20,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
15_200_tips,56.0,0.1421319796954314,9.436590441600003,2.082657071764684,200,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
16_20_tips,4.0,0.1176470588235294,0.19720303,0.0871388683247946,20,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
17_20_tips,6.0,0.1764705882352941,0.262249081,0.160291574707267,20,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
7_200_tips,90.0,0.2284263959390862,0.5781175656299997,0.0644251379642723,200,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
11_10_tips,2.0,0.1428571428571428,0.55297624,0.2826669494770608,10,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
19_100_tips,28.0,0.1443298969072164,0.6087631879999996,0.1039081689872384,100,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
4_10_tips,0.0,0.0,0.54163044,0.2757883674492653,10,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
12_10_tips,4.0,0.2857142857142857,1.01692719,0.5407042526381757,10,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
16_100_tips,18.0,0.0927835051546391,3.3513632733000005,0.789624203881287,100,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
18_10_tips,2.0,0.1428571428571428,4.00463841,2.0771528136702897,10,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
10_50_tips,6.0,0.0638297872340425,2.36340255,0.6236286707170308,50,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
14_100_tips,26.0,0.134020618556701,5.444036705999998,1.0035143978097945,100,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
8_20_tips,2.0,0.0588235294117647,2.73456497,0.8831673660935395,20,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
0_100_tips,16.0,0.0824742268041237,5.888343318,1.7794218116346412,100,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
11_100_tips,16.0,0.0824742268041237,2.5894452990000008,0.4566968735400565,100,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
4_20_tips,2.0,0.0588235294117647,0.59466862,0.235021267139651,20,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
12_100_tips,191.0,1.0,0.1736024831199999,0.0222126860417403,100,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
5_50_tips,93.0,1.0,0.4280862539,0.0833098335889436,50,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
2_100_tips,40.0,0.2061855670103092,0.3447549379599999,0.0521587712742687,100,,FastME,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
