id,rf,norm_rf,weighted_rf,kf_score,n_tips,marker,method,runtime_seconds,gpu_memory_mb
6_10_tips,0.0,0.0,0.24332736,0.1306923543017509,10,,FastME,0.044272422790527344,
10_10_tips,0.0,0.0,0.227163398,0.1171958751111099,10,,FastME,0.044272422790527344,
3_10_tips,4.0,0.2857142857142857,0.19988102,0.1192658825347073,10,,FastME,0.044272422790527344,
16_10_tips,0.0,0.0,0.2777351799999999,0.1535498481860382,10,,FastME,0.044272422790527344,
8_10_tips,0.0,0.0,0.2012913699999999,0.0985470890460753,10,,FastME,0.044272422790527344,
8_20_tips,2.0,0.0588235294117647,1.69436053,0.96028282490521,20,,Phyloformer,4.881330490112305,0.0
19_20_tips,2.0,0.0588235294117647,0.20820483,0.09741394293754,20,,Phyloformer,4.881330490112305,0.0
5_20_tips,8.0,0.2352941176470588,0.073595419,0.0231603300126184,20,,Phyloformer,4.881330490112305,0.0
10_20_tips,2.0,0.0588235294117647,0.3911413699999999,0.1158754859337129,20,,Phyloformer,4.881330490112305,0.0
18_20_tips,6.0,0.1764705882352941,0.1393755369999999,0.0411673870742575,20,,Phyloformer,4.881330490112305,0.0
16_20_tips,6.0,0.1764705882352941,0.182902208,0.079493792411952,20,,Phyloformer,4.881330490112305,0.0
6_20_tips,2.0,0.0588235294117647,0.13831245,0.0477657306335085,20,,Phyloformer,4.881330490112305,0.0
15_20_tips,4.0,0.1176470588235294,0.185185225,0.0598292136540597,20,,Phyloformer,4.881330490112305,0.0
4_20_tips,2.0,0.0588235294117647,0.40277774,0.1190432246190517,20,,Phyloformer,4.881330490112305,0.0
9_20_tips,0.0,0.0,0.12034159,0.0348442288518184,20,,Phyloformer,4.881330490112305,0.0
17_20_tips,14.0,0.4117647058823529,0.227599225,0.0819745460170157,20,,Phyloformer,4.881330490112305,0.0
1_20_tips,0.0,0.0,0.85398358,0.3757778153455754,20,,Phyloformer,4.881330490112305,0.0
12_20_tips,12.0,0.3529411764705882,0.168861285,0.0750681522453235,20,,Phyloformer,4.881330490112305,0.0
2_20_tips,2.0,0.0588235294117647,0.5349952,0.1834683689776485,20,,Phyloformer,4.881330490112305,0.0
13_20_tips,2.0,0.0588235294117647,0.17535709,0.0586166762376979,20,,Phyloformer,4.881330490112305,0.0
14_20_tips,4.0,0.1176470588235294,0.070591331,0.0219398409718355,20,,Phyloformer,4.881330490112305,0.0
3_20_tips,0.0,0.0,0.2902986,0.0936769039116814,20,,Phyloformer,4.881330490112305,0.0
7_20_tips,0.0,0.0,1.04784782,0.3649472829966022,20,,Phyloformer,4.881330490112305,0.0
0_20_tips,4.0,0.1176470588235294,0.4785025499999998,0.208712258398995,20,,Phyloformer,4.881330490112305,0.0
11_20_tips,6.0,0.1764705882352941,0.1912521325,0.0756930327931467,20,,Phyloformer,4.881330490112305,0.0
19_20_tips,2.0,0.0588235294117647,0.1373877331,0.0566621755064038,20,,IQ-TREE,208.69546175003052,
8_20_tips,0.0,0.0,0.7222098838000001,0.3504084457266657,20,,IQ-TREE,208.69546175003052,
18_20_tips,6.0,0.1764705882352941,0.1509086439999999,0.0590492846308795,20,,IQ-TREE,208.69546175003052,
5_20_tips,12.0,0.3529411764705882,0.0756546566,0.0260006214359353,20,,IQ-TREE,208.69546175003052,
16_20_tips,2.0,0.0588235294117647,0.134077942,0.0650964000866027,20,,IQ-TREE,208.69546175003052,
10_20_tips,10.0,0.2941176470588235,0.459441035,0.1489669065388458,20,,IQ-TREE,208.69546175003052,
9_20_tips,0.0,0.0,0.1320782224999999,0.0393595892351219,20,,IQ-TREE,208.69546175003052,
6_20_tips,2.0,0.0588235294117647,0.1285810827,0.0408037314413432,20,,IQ-TREE,208.69546175003052,
17_20_tips,4.0,0.1176470588235294,0.279334239,0.1621646860758322,20,,IQ-TREE,208.69546175003052,
15_20_tips,8.0,0.2352941176470588,0.1956382995999999,0.0749766245781978,20,,IQ-TREE,208.69546175003052,
2_20_tips,2.0,0.0588235294117647,0.5569805327999999,0.2004122512103145,20,,IQ-TREE,208.69546175003052,
4_20_tips,4.0,0.1176470588235294,0.4955346149999999,0.1454546623048513,20,,IQ-TREE,208.69546175003052,
13_20_tips,0.0,0.0,0.163837308,0.0577384746739942,20,,IQ-TREE,208.69546175003052,
1_20_tips,2.0,0.0588235294117647,0.9330000136,0.353342614113301,20,,IQ-TREE,208.69546175003052,
14_20_tips,6.0,0.1764705882352941,0.0681445505999999,0.0210250236162296,20,,IQ-TREE,208.69546175003052,
12_20_tips,14.0,0.4117647058823529,0.0976665537,0.0390018160687569,20,,IQ-TREE,208.69546175003052,
0_20_tips,4.0,0.1176470588235294,0.6590249410000003,0.4099308272182468,20,,IQ-TREE,208.69546175003052,
3_20_tips,0.0,0.0,0.4886679956,0.177683841888356,20,,IQ-TREE,208.69546175003052,
11_20_tips,6.0,0.1764705882352941,0.1320651708999999,0.0380263979542274,20,,IQ-TREE,208.69546175003052,
7_20_tips,2.0,0.0588235294117647,1.8113481419999995,0.7397797274713298,20,,IQ-TREE,208.69546175003052,
8_20_tips,0.0,0.0,0.99827703,0.4449423888710577,20,,FastME,0.06030607223510742,
19_20_tips,2.0,0.0588235294117647,0.14255653,0.0724880069244761,20,,FastME,0.06030607223510742,
5_20_tips,30.0,1.0,0.298637469,0.0798546610924365,20,,FastME,0.06030607223510742,
18_20_tips,10.0,0.2941176470588235,0.181564803,0.0824595208002098,20,,FastME,0.06030607223510742,
10_20_tips,4.0,0.1176470588235294,0.62478878,0.2208598342713768,20,,FastME,0.06030607223510742,
16_20_tips,6.0,0.1764705882352941,0.1496231079999999,0.0697622741509533,20,,FastME,0.06030607223510742,
